A nN,A Sse,A Mv,A Mpe,A ETA_dAlpha_B,A Bandgap,B Mare,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Potential (v)
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3835
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3562
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3317
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3199
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3075
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.4217
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.3993
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.4003
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.3962
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.3943
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2813
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2824
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2818
0,45.72068463,0.680833345,0.984139434,0.01852,3.471,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2815
